UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1406232000
0,1,0,0,1406235600
0,1,0,0,1406239200
0,0,1,-1,1406242800
0,0,1,-1,1406246400
0,1,0,0,1406250000
0,0,1,-1,1406253600
0,0,1,-1,1406257200
0,1,0,0,1406260800
0,1,0,0,1406264400
0,1,0,0,1406268000
1,0,0,1,1406271600
1,0,0,1,1406275200
1,0,0,1,1406278800
1,0,0,1,1406282400
1,0,0,1,1406286000
1,0,0,1,1406289600
1,0,0,1,1406293200
1,0,0,1,1406296800
0,1,0,0,1406300400
0,1,0,0,1406304000
0,1,0,0,1406307600
0,1,0,0,1406311200
0,1,0,0,1406314800
0,1,0,0,1406318400
0,1,0,0,1406494800
0,1,0,0,1406498400
0,1,0,0,1406502000
0,1,0,0,1406505600
0,1,0,0,1406509200
0,1,0,0,1406512800
0,1,0,0,1406516400
0,1,0,0,1406520000
0,1,0,0,1406523600
0,1,0,0,1406527200
0,1,0,0,1406530800
0,1,0,0,1406534400
0,1,0,0,1406538000
0,1,0,0,1406541600
1,0,0,1,1406545200
1,0,0,1,1406548800
1,0,0,1,1406552400
0,1,0,0,1406556000
1,0,0,1,1406559600
1,0,0,1,1406563200
1,0,0,1,1406566800
1,0,0,1,1406570400
1,0,0,1,1406574000
1,0,0,1,1406577600
0,1,0,0,1406581200
1,0,0,1,1406584800
1,0,0,1,1406588400
0,1,0,0,1406592000
0,0,1,-1,1406595600
0,0,1,-1,1406599200
0,0,1,-1,1406602800
1,0,0,1,1406606400
1,0,0,1,1406610000
1,0,0,1,1406613600
1,0,0,1,1406617200
1,0,0,1,1406620800
1,0,0,1,1406624400
1,0,0,1,1406628000
0,1,0,0,1406631600
0,1,0,0,1406635200
0,1,0,0,1406638800
0,1,0,0,1406642400
1,0,0,1,1406646000
1,0,0,1,1406649600
1,0,0,1,1406653200
1,0,0,1,1406656800
1,0,0,1,1406660400
1,0,0,1,1406664000
0,1,0,0,1406667600
0,1,0,0,1406671200
0,1,0,0,1406674800
0,1,0,0,1406678400
0,0,1,-1,1406682000
0,0,1,-1,1406685600
0,0,1,-1,1406689200
0,1,0,0,1406692800
0,1,0,0,1406696400
0,0,1,-1,1406700000
0,0,1,-1,1406703600
0,0,1,-1,1406707200
0,0,1,-1,1406710800
0,0,1,-1,1406714400
0,0,1,-1,1406718000
0,0,1,-1,1406721600
0,0,1,-1,1406725200
0,0,1,-1,1406728800
0,0,1,-1,1406732400
0,0,1,-1,1406736000
0,1,0,0,1406739600
0,0,1,-1,1406743200
0,1,0,0,1406746800
0,0,1,-1,1406750400
0,1,0,0,1406754000
0,0,1,-1,1406757600
0,0,1,-1,1406761200
0,0,1,-1,1406764800
0,0,1,-1,1406768400
0,0,1,-1,1406772000
0,0,1,-1,1406775600
0,0,1,-1,1406779200
0,0,1,-1,1406782800
0,0,1,-1,1406786400
0,0,1,-1,1406790000
0,0,1,-1,1406793600
0,0,1,-1,1406797200
0,0,1,-1,1406800800
0,0,1,-1,1406804400
0,0,1,-1,1406808000
0,1,0,0,1406811600
0,0,1,-1,1406815200
0,1,0,0,1406818800
0,1,0,0,1406822400
0,0,1,-1,1406826000
0,0,1,-1,1406829600
0,0,1,-1,1406833200
0,0,1,-1,1406836800
0,0,1,-1,1406840400
0,0,1,-1,1406844000
