UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1405972800
0,1,0,0,1405976400
0,1,0,0,1405980000
0,0,1,-1,1405983600
0,1,0,0,1405987200
0,1,0,0,1405990800
0,1,0,0,1405994400
0,1,0,0,1405998000
0,1,0,0,1406001600
0,1,0,0,1406005200
0,1,0,0,1406008800
0,0,1,-1,1406012400
0,0,1,-1,1406016000
0,0,1,-1,1406019600
0,0,1,-1,1406023200
0,0,1,-1,1406026800
0,0,1,-1,1406030400
0,0,1,-1,1406034000
0,0,1,-1,1406037600
0,0,1,-1,1406041200
0,0,1,-1,1406044800
0,0,1,-1,1406048400
0,0,1,-1,1406052000
0,0,1,-1,1406055600
0,0,1,-1,1406059200
0,0,1,-1,1406062800
0,0,1,-1,1406066400
0,0,1,-1,1406070000
0,0,1,-1,1406073600
0,0,1,-1,1406077200
0,0,1,-1,1406080800
0,0,1,-1,1406084400
0,0,1,-1,1406088000
0,0,1,-1,1406091600
0,0,1,-1,1406095200
0,0,1,-1,1406098800
0,1,0,0,1406102400
0,0,1,-1,1406106000
1,0,0,1,1406109600
1,0,0,1,1406113200
0,1,0,0,1406116800
0,1,0,0,1406120400
0,1,0,0,1406124000
0,1,0,0,1406127600
0,1,0,0,1406131200
0,1,0,0,1406134800
0,0,1,-1,1406138400
0,1,0,0,1406142000
0,1,0,0,1406145600
0,1,0,0,1406149200
0,0,1,-1,1406152800
0,1,0,0,1406156400
0,0,1,-1,1406160000
0,1,0,0,1406163600
0,0,1,-1,1406167200
0,1,0,0,1406170800
0,0,1,-1,1406174400
0,0,1,-1,1406178000
0,0,1,-1,1406181600
1,0,0,1,1406185200
1,0,0,1,1406188800
1,0,0,1,1406192400
1,0,0,1,1406196000
1,0,0,1,1406199600
0,1,0,0,1406203200
0,1,0,0,1406206800
0,1,0,0,1406210400
0,1,0,0,1406214000
0,1,0,0,1406217600
0,1,0,0,1406221200
0,1,0,0,1406224800
0,1,0,0,1406228400
0,1,0,0,1406232000
0,1,0,0,1406235600
0,1,0,0,1406239200
0,1,0,0,1406242800
0,1,0,0,1406246400
0,1,0,0,1406250000
0,1,0,0,1406253600
0,1,0,0,1406257200
0,1,0,0,1406260800
0,1,0,0,1406264400
0,1,0,0,1406268000
0,1,0,0,1406271600
0,0,1,-1,1406275200
0,0,1,-1,1406278800
0,1,0,0,1406282400
0,0,1,-1,1406286000
0,0,1,-1,1406289600
0,0,1,-1,1406293200
0,0,1,-1,1406296800
0,0,1,-1,1406300400
0,0,1,-1,1406304000
0,0,1,-1,1406307600
0,0,1,-1,1406311200
0,0,1,-1,1406314800
0,0,1,-1,1406318400
0,0,1,-1,1406494800
0,0,1,-1,1406498400
0,0,1,-1,1406502000
0,0,1,-1,1406505600
0,0,1,-1,1406509200
0,0,1,-1,1406512800
0,0,1,-1,1406516400
0,0,1,-1,1406520000
0,0,1,-1,1406523600
0,1,0,0,1406527200
0,1,0,0,1406530800
